business_id,sector,business_age_years,legal_status,division,location_type,employees_count,monthly_revenue_bdt,monthly_profit_bdt,existing_loans,prior_loan_count,late_payment_history,loan_purpose,loan_amount_bdt,preferred_tenure_months,collateral_level,cashflow_stability,missed_payment_last_12m,repayment_confidence,owner_education,days_payable_outstanding,business_description,loan_purpose_description,repayment_plan_description,risk_factors_description,target_missed_payment,split
SME0011,Services,1,Partnership,Rajshahi,Urban,23,762209,284290,Yes,3,Never,Expansion,1147333,18,Moderate,2,No,4,Higher Secondary,20,"Restaurant in Sirajganj, Rajshahi division. Operating 1 years with 23 employees. Urban market with strong competition. Monthly revenue approximately 762K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 1147K BDT for expansion. Current operations at capacity. Need funds to open new branch. Market opportunity significant with 30% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 18 months from business cashflow.,Monthly installment 63K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 25% of revenue for loan servicing. 3 previous loans repaid successfully. Cashflow stability rated 2/5. Owner committed with moderate collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Rajshahi division market stable. Customer base loyal with 1 years reputation. Management experienced in handling operational challenges.",0,train
SME0012,Agriculture,6,Sole,Barisal,Urban,2,1676184,450551,No,0,Never,Inventory,1738118,18,Moderate,3,No,5,Higher Secondary,20,"Dairy farm in Patuakhali, Barisal division. Operating 6 years with 2 employees. Urban market with strong competition. Monthly revenue approximately 1676K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 1738K BDT for inventory. Current operations at capacity. Need funds to stock seasonal inventory. Market opportunity significant with 25% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 18 months from business cashflow.,Monthly installment 96K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 30% of revenue for loan servicing. 0 previous loans repaid successfully. Cashflow stability rated 3/5. Owner committed with moderate collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Barisal division market stable. Customer base loyal with 6 years reputation. Management experienced in handling operational challenges.",0,train
SME0013,Manufacturing,17,Limited,Khulna,Urban,43,1090838,360449,No,3,Sometimes,Equipment,1639565,24,High,4,No,5,Secondary,20,"Food processing in Jessore, Khulna division. Operating 17 years with 43 employees. Urban market with strong competition. Monthly revenue approximately 1090K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 1639K BDT for equipment. Current operations at capacity. Need funds to purchase modern equipment. Market opportunity significant with 15% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 24 months from business cashflow.,Monthly installment 68K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 25% of revenue for loan servicing. 3 previous loans repaid successfully. Cashflow stability rated 4/5. Owner committed with high collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Khulna division market stable. Customer base loyal with 17 years reputation. Management experienced in handling operational challenges.",0,train
SME0014,Manufacturing,17,Sole,Chittagong,Rural,41,1141804,365603,Yes,2,Never,Working capital,1784307,18,Moderate,4,No,5,Bachelor's,20,"Textile mill in Feni, Chittagong division. Operating 17 years with 41 employees. Rural area serving local community. Monthly revenue approximately 1141K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 1784K BDT for working capital. Current operations at capacity. Need funds to expand working capital. Market opportunity significant with 25% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 18 months from business cashflow.,Monthly installment 99K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 25% of revenue for loan servicing. 2 previous loans repaid successfully. Cashflow stability rated 4/5. Owner committed with moderate collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Chittagong division market stable. Customer base loyal with 17 years reputation. Management experienced in handling operational challenges.",0,train
SME0015,Retail,9,Partnership,Barisal,Urban,16,780718,205171,No,2,Never,Renovation,1542537,18,Moderate,3,No,3,Bachelor's,20,"Pharmacy in Barisal City, Barisal division. Operating 9 years with 16 employees. Urban market with strong competition. Monthly revenue approximately 780K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 1542K BDT for renovation. Current operations at capacity. Need funds to renovate premises. Market opportunity significant with 15% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 18 months from business cashflow.,Monthly installment 85K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 30% of revenue for loan servicing. 2 previous loans repaid successfully. Cashflow stability rated 3/5. Owner committed with moderate collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Barisal division market stable. Customer base loyal with 9 years reputation. Management experienced in handling operational challenges.",0,train
SME0016,Retail,14,Limited,Dhaka,Urban,17,2428462,510072,Yes,2,Never,Renovation,5000000,12,Low,5,No,4,Bachelor's,75,"Electronics store in Tangail, Dhaka division. Operating 14 years with 17 employees. Urban market with strong competition. Monthly revenue approximately 2428K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 5000K BDT for renovation. Current operations at capacity. Need funds to renovate premises. Market opportunity significant with 15% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 12 months from business cashflow.,Monthly installment 416K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 30% of revenue for loan servicing. 2 previous loans repaid successfully. Cashflow stability rated 5/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Dhaka division market stable. Customer base loyal with 14 years reputation. Management experienced in handling operational challenges.",0,train
SME0017,Services,12,Sole,Chittagong,Urban,20,2469092,698121,No,2,Never,Inventory,2294226,18,Low,4,No,3,Secondary,75,"Transport service in Coxs Bazar, Chittagong division. Operating 12 years with 20 employees. Urban market with strong competition. Monthly revenue approximately 2469K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 2294K BDT for inventory. Current operations at capacity. Need funds to stock seasonal inventory. Market opportunity significant with 25% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 18 months from business cashflow.,Monthly installment 127K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 20% of revenue for loan servicing. 2 previous loans repaid successfully. Cashflow stability rated 4/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Chittagong division market stable. Customer base loyal with 12 years reputation. Management experienced in handling operational challenges.",0,train
SME0018,Manufacturing,18,Partnership,Khulna,Rural,25,2090907,548805,Yes,1,Never,Expansion,1579428,12,Moderate,5,No,4,Bachelor's,7,"Food processing in Khulna City, Khulna division. Operating 18 years with 25 employees. Rural area serving local community. Monthly revenue approximately 2090K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 1579K BDT for expansion. Current operations at capacity. Need funds to open new branch. Market opportunity significant with 15% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 12 months from business cashflow.,Monthly installment 131K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 25% of revenue for loan servicing. 1 previous loans repaid successfully. Cashflow stability rated 5/5. Owner committed with moderate collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Khulna division market stable. Customer base loyal with 18 years reputation. Management experienced in handling operational challenges.",0,test
SME0019,Agriculture,16,Sole,Dhaka,Urban,5,72079,25616,Yes,1,Sometimes,Renovation,118705,18,Moderate,3,No,3,Bachelor's,40,"Poultry farm in Tangail, Dhaka division. Operating 16 years with 5 employees. Urban market with strong competition. Monthly revenue approximately 72K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 118K BDT for renovation. Current operations at capacity. Need funds to renovate premises. Market opportunity significant with 25% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 18 months from business cashflow.,Monthly installment 6K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 20% of revenue for loan servicing. 1 previous loans repaid successfully. Cashflow stability rated 3/5. Owner committed with moderate collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Dhaka division market stable. Customer base loyal with 16 years reputation. Management experienced in handling operational challenges.",0,test
SME0020,Agriculture,7,Limited,Khulna,Urban,14,1078708,162278,Yes,2,Never,Working capital,720807,24,Low,4,Yes,4,Higher Secondary,40,"Rice mill in Satkhira, Khulna division. Operating 7 years with 14 employees. Urban market with strong competition. Monthly revenue approximately 1078K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 720K BDT for working capital. Current operations at capacity. Need funds to expand working capital. Market opportunity significant with 15% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 24 months from business cashflow.,Monthly installment 30K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 25% of revenue for loan servicing. 2 previous loans repaid successfully. Cashflow stability rated 4/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Khulna division market stable. Customer base loyal with 7 years reputation. Management experienced in handling operational challenges.",1,train
SME0021,Services,7,Limited,Chittagong,Urban,20,2340354,620627,Yes,3,Never,Equipment,1223320,18,Low,2,Yes,2,Bachelor's,90,"Beauty salon in Chittagong City, Chittagong division. Operating 7 years with 20 employees. Urban market with strong competition. Monthly revenue approximately 2340K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 1223K BDT for equipment. Current operations at capacity. Need funds to purchase modern equipment. Market opportunity significant with 20% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 18 months from business cashflow.,Monthly installment 67K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 20% of revenue for loan servicing. 3 previous loans repaid successfully. Cashflow stability rated 2/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Chittagong division market stable. Customer base loyal with 7 years reputation. Management experienced in handling operational challenges.",1,test
SME0022,Manufacturing,17,Sole,Chittagong,Urban,48,3521503,931653,Yes,0,Sometimes,Renovation,3542562,24,Low,2,Yes,3,Higher Secondary,7,"Garment factory in Comilla, Chittagong division. Operating 17 years with 48 employees. Urban market with strong competition. Monthly revenue approximately 3521K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 3542K BDT for renovation. Current operations at capacity. Need funds to renovate premises. Market opportunity significant with 25% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 24 months from business cashflow.,Monthly installment 147K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 25% of revenue for loan servicing. 0 previous loans repaid successfully. Cashflow stability rated 2/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Chittagong division market stable. Customer base loyal with 17 years reputation. Management experienced in handling operational challenges.",1,train
SME0023,Agriculture,8,Sole,Dhaka,Urban,11,596838,143576,Yes,1,Never,Renovation,1475635,24,Moderate,3,No,5,Bachelor's,20,"Rice mill in Narayanganj, Dhaka division. Operating 8 years with 11 employees. Urban market with strong competition. Monthly revenue approximately 596K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 1475K BDT for renovation. Current operations at capacity. Need funds to renovate premises. Market opportunity significant with 25% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 24 months from business cashflow.,Monthly installment 61K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 20% of revenue for loan servicing. 1 previous loans repaid successfully. Cashflow stability rated 3/5. Owner committed with moderate collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Dhaka division market stable. Customer base loyal with 8 years reputation. Management experienced in handling operational challenges.",0,train
SME0024,Manufacturing,18,Partnership,Chittagong,Urban,5,1754274,659912,Yes,2,Never,Renovation,2873786,6,Low,2,Yes,1,Master's,60,"Metalworks in Chittagong City, Chittagong division. Operating 18 years with 5 employees. Urban market with strong competition. Monthly revenue approximately 1754K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 2873K BDT for renovation. Current operations at capacity. Need funds to renovate premises. Market opportunity significant with 20% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 6 months from business cashflow.,Monthly installment 478K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 30% of revenue for loan servicing. 2 previous loans repaid successfully. Cashflow stability rated 2/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Chittagong division market stable. Customer base loyal with 18 years reputation. Management experienced in handling operational challenges.",1,train
SME0025,Manufacturing,5,Partnership,Chittagong,Urban,25,1648332,253153,No,2,Never,Expansion,2861927,18,Low,4,No,4,Bachelor's,45,"Garment factory in Feni, Chittagong division. Operating 5 years with 25 employees. Urban market with strong competition. Monthly revenue approximately 1648K BDT. Peak sales during Eid festivals and wedding season. Strong supplier relationships and customer loyalty built over years. Challenges include power supply issues and seasonal demand fluctuations.",Requesting 2861K BDT for expansion. Current operations at capacity. Need funds to open new branch. Market opportunity significant with 20% projected revenue growth. Supplier discounts available for bulk purchases. Repayment over 18 months from business cashflow.,Monthly installment 158K BDT from business revenue. Peak season sales provide repayment cushion. Maintain 20% of revenue for loan servicing. 2 previous loans repaid successfully. Cashflow stability rated 4/5. Owner committed with low collateral. Business growth from loan investment covers repayment comfortably.,"Competition from larger chains and online platforms. Economic uncertainty affects consumer spending. Raw material costs fluctuating. Transportation challenges during monsoon season. Power outages disrupt operations. Mitigation through diversified suppliers, cost control, and quality focus. Chittagong division market stable. Customer base loyal with 5 years reputation. Management experienced in handling operational challenges.",0,train
